# Historical Sirius skills that were installed by this repository and later removed.
# Format: skill<TAB>full Git revision providing retirement evidence
add-subfeature	36f7542d39225e1160c3a4b36c76dfd067fd0281
archive-artifacts	36f7542d39225e1160c3a4b36c76dfd067fd0281
author-software-proposal	b6865d3329011791ccafd8eb181a12b960f40c6d
assess	3b78f0001ca391e321f52f5ebbd8043c7762f2ac
audit-artifacts	36f7542d39225e1160c3a4b36c76dfd067fd0281
autoplan	36f7542d39225e1160c3a4b36c76dfd067fd0281
batch	a91f8819de994483ef2432082a43ef65df16c220
blueprint	36f7542d39225e1160c3a4b36c76dfd067fd0281
bootstrap	36f7542d39225e1160c3a4b36c76dfd067fd0281
breakdown	36f7542d39225e1160c3a4b36c76dfd067fd0281
brief	36f7542d39225e1160c3a4b36c76dfd067fd0281
close-slice	36f7542d39225e1160c3a4b36c76dfd067fd0281
close-track	d6289e6eeeb12bbcfeddb259418fd3cd1ec24bf5
configure-project	fda83b97556ad35e8081832d29b5f040484b0aba
define	4d61553fb800a61de68d69d11d3f09b9a0513e36
design	36f7542d39225e1160c3a4b36c76dfd067fd0281
dioxus-stitch	b8676f40829ad43d307e365f1e443b6d37dd2f40
dioxus-ui-ux	b8676f40829ad43d307e365f1e443b6d37dd2f40
discover	36f7542d39225e1160c3a4b36c76dfd067fd0281
evolve-feature	e750b608f3197ed3f2bd931cc2c316c9fab7d18a
execute-all-slices	2c3f6c28df36d669a4092866dc6d732e4f9d26b5
execution-driver	629ca85cad9f353386beb22d045be8c47e08fecb
finalize-subfeature	ae1ae6769a876a9187a6e7b2d411b08d7fceef12
guide-execution	36f7542d39225e1160c3a4b36c76dfd067fd0281
guide-planning	36f7542d39225e1160c3a4b36c76dfd067fd0281
guide-scope	36f7542d39225e1160c3a4b36c76dfd067fd0281
learn	36f7542d39225e1160c3a4b36c76dfd067fd0281
measure-artifacts	36f7542d39225e1160c3a4b36c76dfd067fd0281
migrate-slices	36f7542d39225e1160c3a4b36c76dfd067fd0281
migrate-subfeatures	36f7542d39225e1160c3a4b36c76dfd067fd0281
plan	d6289e6eeeb12bbcfeddb259418fd3cd1ec24bf5
planning-driver	629ca85cad9f353386beb22d045be8c47e08fecb
propose	36f7542d39225e1160c3a4b36c76dfd067fd0281
reconcile-execution	36f7542d39225e1160c3a4b36c76dfd067fd0281
reconcile-feature	e750b608f3197ed3f2bd931cc2c316c9fab7d18a
repair-artifacts	36f7542d39225e1160c3a4b36c76dfd067fd0281
report-artifacts	36f7542d39225e1160c3a4b36c76dfd067fd0281
research	36f7542d39225e1160c3a4b36c76dfd067fd0281
review-execution	36f7542d39225e1160c3a4b36c76dfd067fd0281
review-planning	36f7542d39225e1160c3a4b36c76dfd067fd0281
sb-tracker	853c00d835a1eef17cb70d6e8c2d7900107e5b75
ship	36f7542d39225e1160c3a4b36c76dfd067fd0281
ship-slice	36f7542d39225e1160c3a4b36c76dfd067fd0281
ship-worktree	36f7542d39225e1160c3a4b36c76dfd067fd0281
slice	36f7542d39225e1160c3a4b36c76dfd067fd0281
spec-driver	4fddb6b6ab7c9214a830adaae788724b300860c7
specify	ded23448aae32c76f9498334644de8ea89446ce9
tasks	1b808b52846dd4d8c5e4bc2fc26779c293dd2ec5
trace-artifacts	36f7542d39225e1160c3a4b36c76dfd067fd0281
track	d6289e6eeeb12bbcfeddb259418fd3cd1ec24bf5
ui-flow	36f7542d39225e1160c3a4b36c76dfd067fd0281
governance-update	8c90130b94033d4fe4da1542e0741ed30f5acef7
iterative-up-analysis-design	90bfc26b7601fefb595cb846f41da2ae833fdac0
rewrite-technical-artifacts	e43bf3bec5d2499665126ea8759db00765a82a7b
plan-up-iterations	1fb34bfc6babba4a0cd502eb649bdafe92dfbe74
iterative-risk-driven-analysis-design	ca848e086f544255b2372ad29851bf558e31cb24
run-development-iteration	ca848e086f544255b2372ad29851bf558e31cb24
simplify	f137fcf18220ab0458af547411c8e76401d84729
commit	08313ab71057b3763f24a413270782166db14cb3
stakeholder-requirements-elicitation	f544d48bf5e1b0d836e0cb39f8122a767bdbae0f
requirements-synthesis-validation	f544d48bf5e1b0d836e0cb39f8122a767bdbae0f
implementation-slice-briefing	f544d48bf5e1b0d836e0cb39f8122a767bdbae0f
behavior-driven-specification	be0fe452e4f3b670daa286f91501eb2220b8e82d
